"quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","media_despesa","sexo"
1,900,900,4217.5,6325.485,4550,28086,900,574,4,3,202.475,2
2,45424,6489.14285714286,45424,6325.485,4550,28086,5019.35,2090,15,10,3028.26666666667,1
2,129185.2,4784.63703703704,4217.5,126885.2,2300,28086,5019.35,951,51,25,2533.0431372549,2
16,778346.29,19957.5971794872,48226.29,455000,48000,226000,5019.35,41802,387,286,2011.19069767442,1
7,432515.76,6553.26909090909,4217.5,375295.08,25300,31920.68,5019.35,8515,344,132,1257.31325581395,2
1,29550,5910,4217.5,6325.485,4550,28086,29550,486,21,15,1406.77619047619,1
96,737073,4606.70625,10000,25000,347073,277000,78000,20876,518,116,1422.52171814672,2
3,810000,115714.285714286,4217.5,780000,4550,30000,5019.35,11199,395,201,1974.43035443038,2
5,87582.56,2736.955,23582.56,6325.485,15500,28086,48500,17631,64,24,1368.4775,2
1,3253.75,813.4375,4217.5,3253.75,4550,28086,5019.35,4112,4,1,813.4375,2
46,2560734.62,26129.9451020408,4306.64,2325568.61,114000,71355,45504.37,159569,973,406,2635.43474820144,2
49,1495649.45,24927.4908333333,4217.5,620000,33907.51,746741.94,95000,117048,977,554,1530.60944728762,2
6,5086.93,423.910833333333,500,250,2503.6,28086,1833.33,320,11,8,407.090909090909,2
3,3100,1033.33333333333,2500,6325.485,600,28086,5019.35,241,7,6,442.857142857143,1
4,10134,921.272727272727,1000,6325.485,482,28086,8652,588,14,6,723.857142857143,2
22,755794,16080.7234042553,4217.5,401990,33804,310000,10000,66274,78,22,9677.38974358974,2
3,2620,374.285714285714,1620,6325.485,1000,28086,5019.35,426,7,3,374.285714285714,1
8,1175818,55991.3333333333,529818,550000,2000,84000,10000,250296,433,273,2714.92131639723,2
4,1654.63,236.375714285714,458.17,896.46,300,28086,5019.35,301,7,4,236.375714285714,2
4,11326.84,809.06,9476.84,6325.485,1300,28086,550,541,17,4,666.284705882353,2
